date,Ps,Ts,TMP_MSS
2024-05-06 00:00:00,998.2658171015626,297.0637347523967,263.1620022839919
2024-05-06 03:00:00,998.91162109375,296.94133324218745,263.173853471341
2024-05-06 06:00:00,997.3608213620982,297.6182429274386,262.9548019225353
2024-05-06 09:00:00,997.0102354245982,297.8468340252427,262.90623803502217
2024-05-06 12:00:00,999.3696989375,298.65967454341234,262.7436397162496
2024-05-06 15:00:00,996.203045483192,305.95880347836766,263.27452582350395
2024-05-06 18:00:00,994.6311735468752,307.3613596657198,263.8603622996488
2024-05-06 21:00:00,994.1972135859376,301.4729242309123,263.87858488768984
2024-05-07 00:00:00,994.339031811317,302.22052171320166,263.6178046807953
2024-05-07 03:00:00,997.333984375,301.33131245703123,263.4472581878318
2024-05-07 06:00:00,994.5886656003796,299.7509322813978,263.1667939751957
2024-05-07 09:00:00,998.132369248817,298.72136705107704,262.89601208187673
2024-05-07 12:00:00,995.8423277097544,299.444850240678,262.79952106556146
2024-05-07 15:00:00,996.009765625,307.8739716678209,263.4647191052293
2024-05-07 18:00:00,992.021893139442,309.79791566782086,263.9458841428736
2024-05-07 21:00:00,993.728271484375,305.0060037755385,263.96217346583154
2024-05-08 00:00:00,992.7837164074332,303.6663169768582,263.6515244599276
2024-05-08 03:00:00,996.894087998817,301.73829981128625,263.39654582049724
2024-05-08 06:00:00,992.947186108192,300.74721845732694,263.20661739812994
2024-05-08 09:00:00,993.8789488035044,299.52936666406254,263.154051704113
2024-05-08 12:00:00,997.2200407343752,299.9678474298354,262.820177768022
2024-05-08 15:00:00,999.175537109375,306.8362874134709,262.4296492208784
2024-05-08 18:00:00,997.548409875,305.3399290245033,262.51901106120016
2024-05-08 21:00:00,1001.64753096875,298.36075968809143,261.5100173116996
2024-05-09 00:00:00,1004.7975303816296,295.82104484059846,260.869383807421
2024-05-09 03:00:00,1006.9526297097544,293.188957222952,260.6715990097727
2024-05-09 06:00:00,1007.374382639442,290.2378886475195,260.17655014057067
2024-05-09 09:00:00,1007.9121023660044,288.9599253577176,260.0727963862764
2024-05-09 12:00:00,1008.1286711054688,288.0362448356417,260.57297731775463
2024-05-09 15:00:00,1007.899972375,290.30728806880296,260.91423432912205
2024-05-09 18:00:00,1003.8537077265626,292.48472924212604,261.0849479364098
2024-05-09 21:00:00,1003.5640053643187,290.56632300431914,261.3172870819236
2024-05-10 00:00:00,1006.0987073532482,292.2041419798619,261.43914817651955
2024-05-10 03:00:00,1005.7195884870982,292.33143141856027,261.6653338727249
2024-05-10 06:00:00,1003.1723722773438,292.769069095851,261.5763689225707
2024-05-10 09:00:00,1000.4761778074107,291.36467140503635,261.54949671142543
2024-05-10 12:00:00,1005.6667320417856,293.48328743989674,261.7203151543976
2024-05-10 15:00:00,1005.1183311628796,300.56469390068634,261.82017822344255
2024-05-10 18:00:00,1000.720748155067,301.4473674440987,262.12666212986437
2024-05-10 21:00:00,1000.2880088972544,296.38285584253623,262.4320796874932
2024-05-11 00:00:00,1001.4752897578126,294.0705409786635,262.1928849059034
2024-05-11 03:00:00,1003.3542320417856,293.2224488222656,262.0718641537438
2024-05-11 06:00:00,1000.6019987421876,294.2035435471708,262.01792327603414
