timestamp,Ts,Ps,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22
2024-05-06 00:00:00,297.0637347523967,998.2658171015626,298.1866149902344,302.19549560546875,302.1806945800781,301.3941955566406,299.694580078125,295.216796875,290.4805908203125,285.84320068359375,284.1618957519531,281.29937744140625,279.55169677734375,274.93328857421875,269.42919921875,263.34442138671875,256.42938232421875,248.2135009765625,239.97450256347656,232.3394012451172,220.3916015625,210.6116943359375,199.5386962890625,207.21780395507812,219.42730712890625,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,65.00445556640625,289.5653991699219,520.1207275390625,758.8228149414062,999.880615234375,1502.0360107421875,2022.60205078125,2570.97705078125,3148.02099609375,3764.26806640625,4422.6220703125,5129.77294921875,5888.3798828125,6710.0322265625,7606.91796875,8593.1796875,9691.3681640625,10955.376953125,12433.48046875,14245.830078125,16675.0390625,20729.970703125,26497.94921875
2024-05-06 03:00:00,296.94133324218745,998.91162109375,297.6328125,302.88739013671875,303.1226806640625,301.3312072753906,299.2559814453125,295.0245056152344,290.52947998046875,286.631591796875,284.20159912109375,281.70489501953125,280.08721923828125,273.9602966308594,268.31561279296875,264.39288330078125,256.27911376953125,246.8137969970703,242.114501953125,231.99490356445312,220.4178924560547,210.04519653320312,199.57589721679688,208.69129943847656,217.43409729003906,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,63.977874755859375,287.8851013183594,520.772216796875,757.8125,1000.2410888671875,1500.1199951171875,2022.462890625,2570.625,3149.02001953125,3765.3701171875,4425.419921875,5131.47314453125,5887.51806640625,6708.755859375,7607.25390625,8590.748046875,9691.0400390625,10957.76171875,12435.580078125,14242.1201171875,16671.58984375,20742.939453125,26498.9296875
2024-05-06 06:00:00,297.6182429274386,997.3608213620982,297.19171142578125,301.4504089355469,302.81011962890625,300.8966064453125,299.07177734375,294.97161865234375,290.3515930175781,286.219482421875,284.03662109375,280.844482421875,279.04840087890625,273.5581970214844,269.22198486328125,264.37451171875,255.78939819335938,247.44129943847656,241.9387969970703,232.181396484375,220.0323028564453,210.03680419921875,198.69760131835938,208.076904296875,219.32749938964844,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,61.84814453125,285.4234924316406,516.9830932617188,754.6862182617188,996.767822265625,1495.927001953125,2018.4990234375,2566.365966796875,3144.93408203125,3760.822998046875,4417.6240234375,5122.6259765625,5879.2822265625,6703.01904296875,7600.033203125,8582.05859375,9684.2958984375,10951.2412109375,12429.5302734375,14228.2197265625,16651.669921875,20722.380859375,26463.2890625
2024-05-06 09:00:00,297.8468340252427,997.0102354245982,297.7217102050781,298.731689453125,300.97308349609375,300.43170166015625,298.61181640625,294.50970458984375,290.0260009765625,286.4010009765625,284.59759521484375,281.66259765625,279.55828857421875,274.25091552734375,269.373291015625,264.2951965332031,255.8214111328125,247.12530517578125,240.87449645996094,231.57269287109375,219.61390686035156,209.2678985595703,200.2333984375,208.83599853515625,221.57960510253906,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,59.25262451171875,281.4879150390625,510.69329833984375,748.0208129882812,989.734375,1488.135986328125,2009.9091796875,2557.43505859375,3136.587890625,3753.48388671875,4412.7783203125,5117.82080078125,5876.98193359375,6700.18701171875,7597.373046875,8580.1318359375,9679.2021484375,10940.7431640625,12415.2197265625,14210.9501953125,16644.990234375,20720.529296875,26449.75
2024-05-06 12:00:00,298.65967454341234,999.3696989375001,298.4273986816406,297.9472961425781,299.3222961425781,299.66741943359375,298.107421875,294.02178955078125,289.68170166015625,286.31732177734375,284.91668701171875,282.24200439453125,279.36920166015625,274.30389404296875,268.8016052246094,264.03729248046875,255.95721435546875,247.09339904785156,240.42039489746094,232.03289794921875,219.62550354003906,210.2899932861328,199.28759765625,208.42469787597656,220.8531951904297,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,73.08102416992188,295.16741943359375,523.201904296875,759.3472900390625,1000.829345703125,1498.718994140625,2019.845947265625,2566.60009765625,3146.821044921875,3763.906982421875,4423.6396484375,5129.412109375,5886.876953125,6710.02587890625,7606.0849609375,8588.9599609375,9686.8388671875,10949.646484375,12423.48046875,14225.669921875,16664.669921875,20725.109375,26472.5390625
2024-05-06 15:00:00,305.95880347836766,996.203045483192,304.12750244140625,301.9014892578125,299.9075012207031,297.8815002441406,297.0775146484375,294.0065002441406,289.8009033203125,287.3309020996094,285.82159423828125,283.3858947753906,280.2568054199219,274.19989013671875,269.1181945800781,263.8480224609375,256.26800537109375,247.34689331054688,240.86680603027344,232.45249938964844,219.6529998779297,210.81329345703125,199.8643035888672,208.99049377441406,220.96279907226562,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,60.906280517578125,287.027587890625,517.0772094726562,751.213623046875,991.67626953125,1490.4090576171875,2011.303955078125,2559.697998046875,3140.43896484375,3759.52587890625,4421.61328125,5128.15576171875,5886.0498046875,6707.98583984375,7604.9912109375,8588.8740234375,9688.9482421875,10954.14453125,12430.8095703125,14237.419921875,16667.5703125,20723.130859375,26504.0
2024-05-06 18:00:00,307.3613596657198,994.6311735468751,307.00390625,305.290283203125,303.30389404296875,301.03338623046875,298.73388671875,294.05389404296875,289.3684997558594,288.53350830078125,286.9171142578125,285.59698486328125,280.55340576171875,274.52178955078125,269.15301513671875,264.27069091796875,256.30291748046875,247.6053924560547,240.55889892578125,232.20359802246094,219.5222930908203,210.90919494628906,199.30490112304688,208.7144012451172,219.24420166015625,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,30.568252563476562,257.68768310546875,490.68670654296875,729.77392578125,971.15478515625,1469.6650390625,1991.203125,2539.138916015625,3123.277099609375,3745.507080078125,4409.39697265625,5116.60009765625,5875.0087890625,6698.27490234375,7596.02099609375,8580.3349609375,9682.455078125,10945.078125,12420.740234375,14222.76953125,16650.650390625,20704.48046875,26482.990234375
2024-05-06 21:00:00,301.4729242309123,994.1972135859376,302.4967041015625,305.285400390625,304.05621337890625,301.78668212890625,299.50347900390625,294.8330993652344,290.2893981933594,288.71490478515625,286.9898986816406,285.69720458984375,280.67718505859375,274.98699951171875,269.37139892578125,263.9122009277344,256.40899658203125,248.031494140625,239.83279418945312,232.07460021972656,219.81939697265625,210.19869995117188,198.23570251464844,209.37930297851562,220.8502960205078,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,27.938629150390625,254.12518310546875,488.1842041015625,726.2803955078125,968.659912109375,1469.116943359375,1991.5,2540.154052734375,3123.885986328125,3746.304931640625,4411.1298828125,5118.9638671875,5879.0,6701.9482421875,7599.06298828125,8584.4677734375,9684.0771484375,10944.5166015625,12418.900390625,14220.0400390625,16645.5,20711.439453125,26490.939453125
2024-05-07 00:00:00,302.22052171320166,994.339031811317,301.45709228515625,304.3757019042969,303.39569091796875,301.2507019042969,299.09228515625,294.80072021484375,290.510986328125,287.3209228515625,286.72119140625,285.1463928222656,280.48150634765625,275.04150390625,269.5010986328125,263.6959228515625,256.69158935546875,247.7292022705078,240.08799743652344,231.26390075683594,219.84559631347656,209.0247039794922,199.48049926757812,209.27389526367188,220.0574951171875,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,41.91194152832031,267.8760070800781,499.71051025390625,737.6041870117188,979.761474609375,1479.73095703125,2001.62890625,2550.760986328125,3133.9619140625,3755.383056640625,4419.3330078125,5127.27294921875,5886.47509765625,6709.384765625,7606.68115234375,8592.1982421875,9691.966796875,10950.2919921875,12423.9296875,14226.650390625,16648.80859375,20735.98046875,26492.890625
2024-05-07 03:00:00,301.33131245703123,997.333984375,301.81500244140625,301.60089111328125,300.6148986816406,299.970703125,298.1820983886719,295.0142822265625,290.962890625,287.3901062011719,286.02630615234375,284.67950439453125,280.29669189453125,274.2772216796875,269.19390869140625,263.63421630859375,256.45501708984375,248.03500366210938,240.5281982421875,231.44720458984375,219.08909606933594,208.89720153808594,202.3094940185547,208.60000610351562,218.55979919433594,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,46.347869873046875,270.7523193359375,501.055419921875,737.4083862304688,979.036865234375,1478.009033203125,2000.925048828125,2551.15087890625,3132.491943359375,3753.56591796875,4416.65625,5123.73193359375,5882.27587890625,6704.0087890625,7601.30517578125,8587.021484375,9688.98046875,10949.478515625,12420.669921875,14216.0,16649.5390625,20740.98046875,26490.810546875
