timestamp,muons,IoPC,IoTPC,dP,dT,alpha,beta
2024-05-07 00:00:00,1896.4333333333334,1891.0778591856285,1893.0148355881877,-7.6842149932862185,3.0854559865535407,-0.0331797600942833,-0.036802284650971816
2024-05-07 01:00:00,1887.7166666666667,1882.5705534668066,1884.4632704243688,-7.417548326619567,3.0286071555656804,-0.0331797600942833,-0.036802284650971816
2024-05-07 02:00:00,1894.15,1889.0442822596237,1890.9078406189433,-7.334214993286196,2.971758324577877,-0.0331797600942833,-0.036802284650971816
2024-05-07 03:00:00,1884.8166666666666,1879.8225823238665,1881.6415509642816,-7.209214993286196,2.9149094935900166,-0.0331797600942833,-0.036802284650971816
2024-05-07 04:00:00,1885.9833333333333,1880.8938605585126,1882.6554665804338,-7.3425483266195215,2.821421422711296,-0.0331797600942833,-0.036802284650971816
2024-05-07 05:00:00,1894.3166666666666,1889.0308961159228,1890.7414730740998,-7.5925483266195215,2.7279333518326325,-0.0331797600942833,-0.036802284650971816
2024-05-07 06:00:00,1898.322033898305,1892.82268776611,1894.4779323657528,-7.8830850497834035,2.634445280953912,-0.0331797600942833,-0.036802284650971816
2024-05-07 07:00:00,1894.5084745762713,1888.8163396005307,1890.4114653262882,-8.176305388766423,2.5441846498475797,-0.0331797600942833,-0.036802284650971816
2024-05-07 08:00:00,1893.9322033898304,1888.2300216438778,1889.768056103627,-8.193254541308875,2.4539240187413043,-0.0331797600942833,-0.036802284650971816
2024-05-07 09:00:00,1893.5333333333333,1888.3192417253701,1889.8007517648591,-7.492548326619499,2.363663387634972,-0.0331797600942833,-0.036802284650971816
2024-05-07 10:00:00,1895.9166666666667,1891.206348608747,1892.6699254145212,-6.75921499328615,2.331499715529901,-0.0331797600942833,-0.036802284650971816
2024-05-07 11:00:00,1891.3898305084747,1887.0896575947472,1888.52989437774,-6.1847799650377056,2.2993360434247734,-0.0331797600942833,-0.036802284650971816
2024-05-07 12:00:00,,,,8.666709602096289e-15,2.2671723713197025,-0.0331797600942833,-0.036802284650971816
2024-05-07 13:00:00,,,,8.666709602096289e-15,2.488905051208974,-0.0331797600942833,-0.036802284650971816
2024-05-07 14:00:00,,,,8.666709602096289e-15,2.7106377310982452,-0.0331797600942833,-0.036802284650971816
2024-05-07 15:00:00,,,,8.666709602096289e-15,2.9323704109875166,-0.0331797600942833,-0.036802284650971816
2024-05-07 16:00:00,1896.7,1890.2477995492013,1892.1885105917179,-9.25921499328615,3.092758756868932,-0.0331797600942833,-0.036802284650971816
2024-05-07 17:00:00,1907.0333333333333,1899.6660505458472,1901.717631278327,-10.51754832661959,3.253147102750404,-0.0331797600942833,-0.036802284650971816
2024-05-07 18:00:00,1894.4333333333334,1886.466637142007,1888.6044651007896,-11.45088165995287,3.4135354486318192,-0.0331797600942833,-0.036802284650971816
2024-05-07 19:00:00,1889.1333333333334,1880.9350916074873,1883.0700434824107,-11.817548326619544,3.418965222951158,-0.0331797600942833,-0.036802284650971816
2024-05-07 20:00:00,,,,8.666709602096289e-15,3.42439499727044,-0.0331797600942833,-0.036802284650971816
2024-05-07 21:00:00,,,,8.666709602096289e-15,3.4298247715897787,-0.0331797600942833,-0.036802284650971816
2024-05-07 22:00:00,1905.7166666666667,1897.6850605943098,1899.7805970565619,-11.475881659952847,3.326275102955151,-0.0331797600942833,-0.036802284650971816
2024-05-07 23:00:00,1910.05,1902.2918116669932,1904.3270060778354,-11.059214993286218,3.2227254343204663,-0.0331797600942833,-0.036802284650971816
2024-05-08 00:00:00,1895.1833333333334,1887.8386705948649,1889.7934723492604,-10.550881659952893,3.1191757656858385,-0.0331797600942833,-0.036802284650971816
2024-05-08 01:00:00,,,,8.666709602096289e-15,3.0341828858757367,-0.0331797600942833,-0.036802284650971816
2024-05-08 02:00:00,1892.9333333333334,1886.308815993786,1888.1555370154786,-9.525881659952915,2.949190006065578,-0.0331797600942833,-0.036802284650971816
2024-05-08 03:00:00,1899.0,1892.7257173019725,1894.5252933659349,-8.992548326619499,2.864197126255476,-0.0331797600942833,-0.036802284650971816
2024-05-08 04:00:00,1898.5166666666667,1892.2439808985869,1894.003313212616,-8.992548326619499,2.800887652133042,-0.0331797600942833,-0.036802284650971816
2024-05-08 05:00:00,1895.45,1888.9846719855611,1890.7012575668207,-9.284214993286241,2.737578178010665,-0.0331797600942833,-0.036802284650971816
2024-05-08 06:00:00,1895.0833333333333,1888.3470457392839,1890.0233497693077,-9.675881659952893,2.674268703888174,-0.0331797600942833,-0.036802284650971816
2024-05-08 07:00:00,1894.7457627118645,1888.028045907171,1889.6930805725174,-9.650881659952915,2.6567468058825057,-0.0331797600942833,-0.036802284650971816
2024-05-08 08:00:00,1895.35,1888.728610169563,1890.3832724581023,-9.50921499328615,2.639224907876894,-0.0331797600942833,-0.036802284650971816
2024-05-08 09:00:00,,,,8.666709602096289e-15,2.6217030098712257,-0.0331797600942833,-0.036802284650971816
2024-05-08 10:00:00,1901.3666666666666,1895.8867838449062,1897.4666179158592,-7.8425483266195215,2.5104116978408797,-0.0331797600942833,-0.036802284650971816
2024-05-08 11:00:00,1884.1833333333334,1879.8249871354672,1881.3219656466306,-6.292548326619567,2.3991203858105905,-0.0331797600942833,-0.036802284650971816
2024-05-08 12:00:00,1888.8333333333333,1885.1174145064165,1886.5489432339082,-5.350881659952847,2.2878290737802445,-0.0331797600942833,-0.036802284650971816
2024-05-08 13:00:00,1881.6,1878.5953094189827,1879.9406849374382,-4.3425483266195215,2.1576528913990387,-0.0331797600942833,-0.036802284650971816
2024-05-08 14:00:00,1892.3833333333334,1889.3498342889848,1890.6212500212298,-4.359214993286173,2.027476709017833,-0.0331797600942833,-0.036802284650971816
2024-05-08 15:00:00,,,,8.666709602096289e-15,1.8973005266366272,-0.0331797600942833,-0.036802284650971816
2024-05-08 16:00:00,,,,8.666709602096289e-15,1.9270878067438844,-0.0331797600942833,-0.036802284650971816
2024-05-08 17:00:00,,,,8.666709602096289e-15,1.9568750868511415,-0.0331797600942833,-0.036802284650971816
2024-05-08 18:00:00,,,,8.666709602096289e-15,1.9866623669583987,-0.0331797600942833,-0.036802284650971816
2024-05-08 19:00:00,,,,8.666709602096289e-15,1.6503311171248924,-0.0331797600942833,-0.036802284650971816
2024-05-08 20:00:00,1868.2166666666667,1866.520882758697,1867.3348296931501,-2.4675483266195215,1.3139998672913293,-0.0331797600942833,-0.036802284650971816
2024-05-08 21:00:00,1883.05,1882.2756921921452,1882.8863790754044,-1.1175483266194988,0.9776686174578231,-0.0331797600942833,-0.036802284650971816
2024-05-08 22:00:00,1871.7,1871.6132911509028,1872.0878699401997,-0.12588165995282452,0.7641241160316099,-0.0331797600942833,-0.036802284650971816
2024-05-08 23:00:00,1872.2333333333333,1872.7553089498608,1873.0974570045894,0.7574516733805012,0.5505796146054536,-0.0331797600942833,-0.036802284650971816
