datetime;neutrons
2024-09-16 00:00:00;211.176
2024-09-16 01:00:00;211.053
2024-09-16 02:00:00;211.433
2024-09-16 03:00:00;210.306
2024-09-16 04:00:00;210.167
2024-09-16 05:00:00;210.189
2024-09-16 06:00:00;209.519
2024-09-16 07:00:00;210.526
2024-09-16 08:00:00;210.836
2024-09-16 09:00:00;211.300
2024-09-16 10:00:00;210.923
2024-09-16 11:00:00;210.341
2024-09-16 12:00:00;210.712
2024-09-16 13:00:00;210.922
2024-09-16 14:00:00;211.064
2024-09-16 15:00:00;210.656
2024-09-16 16:00:00;210.978
2024-09-16 17:00:00;211.022
2024-09-16 18:00:00;211.467
2024-09-16 19:00:00;211.121
2024-09-16 20:00:00;210.795
2024-09-16 21:00:00;209.924
2024-09-16 22:00:00;210.546
2024-09-16 23:00:00;210.466
2024-09-17 00:00:00;210.424
2024-09-17 01:00:00;210.814
2024-09-17 02:00:00;211.258
2024-09-17 03:00:00;211.138
2024-09-17 04:00:00;210.198
2024-09-17 05:00:00;210.531
2024-09-17 06:00:00;209.626
2024-09-17 07:00:00;209.022
2024-09-17 08:00:00;208.164
2024-09-17 09:00:00;207.118
2024-09-17 10:00:00;206.882
2024-09-17 11:00:00;206.216
2024-09-17 12:00:00;205.978
2024-09-17 13:00:00;205.463
2024-09-17 14:00:00;206.796
2024-09-17 15:00:00;205.949
2024-09-17 16:00:00;206.815
2024-09-17 17:00:00;207.237
2024-09-17 18:00:00;206.671
2024-09-17 19:00:00;207.141
2024-09-17 20:00:00;208.350
2024-09-17 21:00:00;208.973
2024-09-17 22:00:00;208.026
2024-09-17 23:00:00;207.764
2024-09-18 00:00:00;208.064
2024-09-18 01:00:00;208.085
2024-09-18 02:00:00;207.813
2024-09-18 03:00:00;207.487
2024-09-18 04:00:00;207.165
2024-09-18 05:00:00;207.708
2024-09-18 06:00:00;208.113
2024-09-18 07:00:00;207.441
2024-09-18 08:00:00;207.823
2024-09-18 09:00:00;207.126
2024-09-18 10:00:00;207.701
2024-09-18 11:00:00;207.883
2024-09-18 12:00:00;208.201
2024-09-18 13:00:00;207.630
2024-09-18 14:00:00;208.231
2024-09-18 15:00:00;207.831
2024-09-18 16:00:00;207.268
2024-09-18 17:00:00;207.831
2024-09-18 18:00:00;208.186
2024-09-18 19:00:00;207.687
2024-09-18 20:00:00;207.452
2024-09-18 21:00:00;207.560
2024-09-18 22:00:00;208.023
2024-09-18 23:00:00;209.383
2024-09-19 00:00:00;209.394
2024-09-19 01:00:00;208.977
2024-09-19 02:00:00;208.952
2024-09-19 03:00:00;208.520
2024-09-19 04:00:00;208.673
2024-09-19 05:00:00;208.602
2024-09-19 06:00:00;209.031
2024-09-19 07:00:00;208.449
2024-09-19 08:00:00;209.068
2024-09-19 09:00:00;208.628
2024-09-19 10:00:00;207.666
2024-09-19 11:00:00;208.601
2024-09-19 12:00:00;208.950
2024-09-19 13:00:00;208.956
2024-09-19 14:00:00;209.026
2024-09-19 15:00:00;209.170
2024-09-19 16:00:00;208.723
2024-09-19 17:00:00;208.382
2024-09-19 18:00:00;209.851
2024-09-19 19:00:00;209.598
2024-09-19 20:00:00;209.654
2024-09-19 21:00:00;209.974
2024-09-19 22:00:00;209.570
2024-09-19 23:00:00;209.191
2024-09-20 00:00:00;209.090
2024-09-20 01:00:00;209.301
2024-09-20 02:00:00;209.397
2024-09-20 03:00:00;209.433
2024-09-20 04:00:00;209.191
2024-09-20 05:00:00;209.315
2024-09-20 06:00:00;209.402
2024-09-20 07:00:00;208.937
2024-09-20 08:00:00;209.390
2024-09-20 09:00:00;208.774
2024-09-20 10:00:00;209.667
2024-09-20 11:00:00;209.625
2024-09-20 12:00:00;209.863
2024-09-20 13:00:00;209.320
2024-09-20 14:00:00;210.139
2024-09-20 15:00:00;209.761
2024-09-20 16:00:00;210.163
2024-09-20 17:00:00;210.263
2024-09-20 18:00:00;210.264
2024-09-20 19:00:00;210.769
2024-09-20 20:00:00;209.937
2024-09-20 21:00:00;209.377
2024-09-20 22:00:00;210.663
2024-09-20 23:00:00;210.015
2024-09-21 00:00:00;210.287
2024-09-21 01:00:00;210.040
2024-09-21 02:00:00;209.814
2024-09-21 03:00:00;210.279
2024-09-21 04:00:00;210.213
2024-09-21 05:00:00;210.188
2024-09-21 06:00:00;210.762
2024-09-21 07:00:00;210.366
2024-09-21 08:00:00;210.543
2024-09-21 09:00:00;210.640
2024-09-21 10:00:00;210.882
2024-09-21 11:00:00;210.713
2024-09-21 12:00:00;211.071
2024-09-21 13:00:00;210.706
2024-09-21 14:00:00;210.568
2024-09-21 15:00:00;211.672
2024-09-21 16:00:00;211.536
2024-09-21 17:00:00;211.271
2024-09-21 18:00:00;212.185
2024-09-21 19:00:00;210.792
2024-09-21 20:00:00;211.178
2024-09-21 21:00:00;211.024
2024-09-21 22:00:00;209.937
2024-09-21 23:00:00;210.875
2024-09-22 00:00:00;211.034
2024-09-22 01:00:00;210.144
2024-09-22 02:00:00;210.351
2024-09-22 03:00:00;210.121
2024-09-22 04:00:00;209.264
2024-09-22 05:00:00;209.327
2024-09-22 06:00:00;210.622
2024-09-22 07:00:00;210.186
2024-09-22 08:00:00;209.357
2024-09-22 09:00:00;210.367
2024-09-22 10:00:00;209.919
2024-09-22 11:00:00;209.335
2024-09-22 12:00:00;209.503
2024-09-22 13:00:00;209.747
2024-09-22 14:00:00;210.843
2024-09-22 15:00:00;212.219
2024-09-22 16:00:00;210.742
2024-09-22 17:00:00;211.768
2024-09-22 18:00:00;211.543
2024-09-22 19:00:00;211.805
2024-09-22 20:00:00;212.001
2024-09-22 21:00:00;210.995
2024-09-22 22:00:00;210.996
2024-09-22 23:00:00;210.944
2024-09-23 00:00:00;210.390
2024-09-23 01:00:00;210.521
2024-09-23 02:00:00;210.273
2024-09-23 03:00:00;210.965
2024-09-23 04:00:00;210.437
2024-09-23 05:00:00;211.149
2024-09-23 06:00:00;210.559
2024-09-23 07:00:00;211.087
2024-09-23 08:00:00;210.640
2024-09-23 09:00:00;211.261
2024-09-23 10:00:00;212.355
2024-09-23 11:00:00;212.007
2024-09-23 12:00:00;212.195
2024-09-23 13:00:00;211.917
2024-09-23 14:00:00;212.037
2024-09-23 15:00:00;212.730
2024-09-23 16:00:00;212.824
2024-09-23 17:00:00;212.514
2024-09-23 18:00:00;212.849
2024-09-23 19:00:00;213.234
2024-09-23 20:00:00;212.781
2024-09-23 21:00:00;211.900
2024-09-23 22:00:00;213.033
2024-09-23 23:00:00;210.785
2024-09-24 00:00:00;211.891
2024-09-24 01:00:00;211.771
2024-09-24 02:00:00;211.705
2024-09-24 03:00:00;211.477
2024-09-24 04:00:00;212.284
2024-09-24 05:00:00;212.359
2024-09-24 06:00:00;212.759
2024-09-24 07:00:00;212.550
2024-09-24 08:00:00;213.054
2024-09-24 09:00:00;212.074
2024-09-24 10:00:00;212.221
2024-09-24 11:00:00;212.397
2024-09-24 12:00:00;212.014
2024-09-24 13:00:00;212.301
2024-09-24 14:00:00;212.783
2024-09-24 15:00:00;213.213
2024-09-24 16:00:00;213.848
2024-09-24 17:00:00;213.538
2024-09-24 18:00:00;213.189
2024-09-24 19:00:00;214.762
2024-09-24 20:00:00;213.882
2024-09-24 21:00:00;214.379
2024-09-24 22:00:00;213.560
2024-09-24 23:00:00;214.664
2024-09-25 00:00:00;214.643
2024-09-25 01:00:00;214.067
2024-09-25 02:00:00;214.066
2024-09-25 03:00:00;213.526
2024-09-25 04:00:00;214.148
2024-09-25 05:00:00;214.206
2024-09-25 06:00:00;213.775
2024-09-25 07:00:00;214.206
2024-09-25 08:00:00;213.960
2024-09-25 09:00:00;213.542
2024-09-25 10:00:00;213.994
2024-09-25 11:00:00;213.318
2024-09-25 12:00:00;212.758
2024-09-25 13:00:00;213.159
2024-09-25 14:00:00;214.195
2024-09-25 15:00:00;213.104
2024-09-25 16:00:00;213.615
2024-09-25 17:00:00;213.159
2024-09-25 18:00:00;213.956
2024-09-25 19:00:00;213.560
2024-09-25 20:00:00;213.882
2024-09-25 21:00:00;213.852
2024-09-25 22:00:00;214.208
2024-09-25 23:00:00;213.132
2024-09-26 00:00:00;213.491
2024-09-26 01:00:00;212.041
2024-09-26 02:00:00;211.641
2024-09-26 03:00:00;213.029
2024-09-26 04:00:00;211.976
