date,Ts,Ps,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22
2024-09-16 00:00:00,290.0988458689928,1009.078125,293.88031005859375,294.4703063964844,293.02899169921875,291.3190002441406,289.2139892578125,284.7756042480469,280.4613952636719,282.0151062011719,277.910888671875,274.05621337890625,269.972412109375,264.9772033691406,260.6044921875,255.92498779296875,252.1416015625,247.29310607910156,239.03280639648438,230.74209594726562,220.86990356445312,210.0216064453125,204.3000030517578,211.90499877929688,218.5395965576172,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,159.267578125,377.9578857421875,602.350830078125,830.63623046875,1065.024658203125,1546.949951171875,2050.0029296875,2582.429931640625,3148.9169921875,3748.511962890625,4387.2353515625,5069.625,5801.39013671875,6599.26123046875,7473.86376953125,8451.146484375,9547.998046875,10799.7431640625,12276.7998046875,14088.099609375,16538.109375,20721.080078125,26494.98046875
2024-09-16 03:00:00,287.6559012418917,1009.354736328125,290.7587890625,291.607177734375,291.68121337890625,289.9736022949219,288.2388000488281,284.69720458984375,282.7772216796875,282.09381103515625,277.6336975097656,273.81109619140625,269.1867980957031,266.734619140625,261.82501220703125,255.960205078125,249.26620483398438,244.8603057861328,238.49659729003906,231.16949462890625,221.69119262695312,210.91180419921875,202.87429809570312,211.3217010498047,218.76400756835938,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,166.83859252929688,382.4988098144531,605.8665771484375,835.0899047851562,1067.407958984375,1548.0899658203125,2052.79296875,2587.758056640625,3153.653076171875,3752.010009765625,4389.5048828125,5071.26708984375,5809.2451171875,6606.72998046875,7477.990234375,8443.33984375,9534.7734375,10786.2138671875,12269.5,14090.6796875,16535.53125,20717.810546875,26486.8203125
2024-09-16 06:00:00,286.5594376547558,1010.516158311317,289.224609375,290.3345947265625,290.42462158203125,289.4906005859375,288.03057861328125,285.14801025390625,284.51568603515625,282.3768005371094,277.82421875,272.716796875,270.05389404296875,267.07171630859375,261.71929931640625,255.4755859375,247.80880737304688,243.3000030517578,237.42689514160156,231.30650329589844,220.7781982421875,211.389404296875,204.0863037109375,211.9542999267578,219.48440551757812,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,162.13369750976562,379.1744079589844,601.8764038085938,828.3679809570312,1060.8857421875,1541.7889404296875,2048.446044921875,2584.047119140625,3150.22412109375,3748.5458984375,4384.1259765625,5069.6630859375,5807.08984375,6605.47021484375,7472.7451171875,8432.005859375,9518.09765625,10766.068359375,12245.400390625,14069.009765625,16517.8203125,20700.830078125,26472.849609375
2024-09-16 09:00:00,285.6264449095647,1011.0738975691295,287.83258056640625,289.68670654296875,290.281494140625,289.59149169921875,288.12152099609375,284.7371826171875,283.482177734375,281.08721923828125,276.9071960449219,272.3630065917969,271.12298583984375,266.84912109375,262.0820007324219,255.94879150390625,248.7855224609375,243.03590393066406,237.4781036376953,230.6295928955078,219.92550659179688,211.0823974609375,204.1365966796875,211.62969970703125,220.6103973388672,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,171.4127197265625,386.7200012207031,607.6804809570312,834.4589233398438,1068.259033203125,1548.738037109375,2053.9931640625,2587.238037109375,3152.091064453125,3748.138916015625,4384.97607421875,5070.3720703125,5807.7880859375,6608.4189453125,7477.8779296875,8436.837890625,9523.4951171875,10769.28125,12243.48046875,14064.5,16522.509765625,20700.4609375,26468.630859375
2024-09-16 12:00:00,295.21989729959824,1012.6143278437501,290.43878173828125,288.80389404296875,290.14031982421875,289.7102966308594,288.2515869140625,285.739501953125,284.36077880859375,281.09808349609375,276.43798828125,273.18231201171875,271.3114929199219,266.6889953613281,262.40130615234375,256.43292236328125,249.51480102539062,243.26220703125,237.4738006591797,230.7617950439453,219.73179626464844,210.03529357910156,204.29229736328125,210.33399963378906,219.46060180664062,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,191.556396484375,406.3882141113281,627.8599853515625,855.14990234375,1087.428466796875,1568.8699951171875,2076.03515625,2611.10888671875,3174.738037109375,3770.48193359375,4410.03515625,5094.623046875,5832.44677734375,6632.9521484375,7506.23388671875,8467.529296875,9553.984375,10800.6826171875,12275.1396484375,14090.6396484375,16552.46875,20721.01953125,26502.939453125
2024-09-16 15:00:00,305.25627417548543,1009.5632749753795,297.58099365234375,295.1964111328125,293.0350036621094,290.85491943359375,288.6448974609375,286.26849365234375,285.2619934082031,281.12548828125,276.46551513671875,274.2991027832031,271.9075927734375,267.5758972167969,263.220703125,256.92108154296875,249.3837890625,244.0758056640625,237.79029846191406,230.52439880371094,219.68890380859375,210.8769989013672,203.8430938720703,212.689697265625,218.1334991455078,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,182.7895050048828,403.5386047363281,627.9356079101562,856.1254272460938,1089.339111328125,1571.614013671875,2079.60107421875,2615.486083984375,3178.927001953125,3775.864990234375,4416.92578125,5104.412109375,5844.7021484375,6646.923828125,7519.58203125,8481.994140625,9570.767578125,10818.765625,12292.009765625,14106.830078125,16558.400390625,20723.05078125,26517.98046875
2024-09-16 18:00:00,306.78116900600725,1008.6048063593751,300.91131591796875,298.53118896484375,296.1112060546875,293.93048095703125,291.715087890625,287.07928466796875,282.4486083984375,281.55279541015625,277.13140869140625,275.83990478515625,272.61322021484375,268.28167724609375,263.58099365234375,257.1950988769531,249.70751953125,243.972900390625,237.82530212402344,230.2967987060547,220.12100219726562,210.46249389648438,203.92840576171875,214.781005859375,218.17979431152344,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,156.27220153808594,378.4547119140625,605.2846069335938,835.9390258789062,1071.605712890625,1557.81201171875,2064.796875,2598.73193359375,3163.77001953125,3762.93798828125,4406.177734375,5095.990234375,5837.55615234375,6641.2490234375,7515.1240234375,8477.982421875,9567.146484375,10814.267578125,12285.9697265625,14103.66015625,16545.349609375,20724.0,26505.009765625
2024-09-16 21:00:00,300.2351696965109,1005.682537670692,300.5863952636719,298.69921875,296.5352783203125,294.34088134765625,291.99749755859375,287.22650146484375,282.7131042480469,282.0587158203125,279.49981689453125,277.039306640625,272.4119873046875,268.63970947265625,264.1903076171875,257.4848937988281,250.20977783203125,244.37869262695312,238.41940307617188,230.1876983642578,220.5771026611328,209.73309326171875,205.1510009765625,213.58140563964844,218.59629821777344,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,150.6291046142578,372.49029541015625,600.0234985351562,831.3939208984375,1066.77734375,1552.509033203125,2060.06982421875,2595.680908203125,3161.97412109375,3766.718994140625,4410.7001953125,5100.166015625,5843.02001953125,6647.87109375,7522.6181640625,8488.76953125,9579.765625,10828.7177734375,12299.990234375,14112.740234375,16553.33984375,20739.4609375,26500.16015625
2024-09-17 00:00:00,291.7666364283412,1011.029586045692,295.73919677734375,296.60919189453125,294.9591979980469,293.0352783203125,291.0852966308594,286.85308837890625,284.86419677734375,282.37860107421875,279.98638916015625,277.24298095703125,272.99407958984375,268.77508544921875,264.0209045410156,257.6251220703125,250.68490600585938,245.3892059326172,237.9185028076172,230.5269012451172,220.6322021484375,208.72560119628906,206.11770629882812,211.2866973876953,218.03289794921875,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,161.0950927734375,381.47589111328125,607.4760131835938,837.2501220703125,1072.003173828125,1557.251953125,2065.06787109375,2601.6279296875,3170.044921875,3775.179931640625,4419.6552734375,5109.9677734375,5853.64794921875,6658.14990234375,7533.716796875,8502.0009765625,9593.64453125,10842.51171875,12316.7802734375,14121.9404296875,16570.4609375,20752.490234375,26519.5
2024-09-17 03:00:00,289.97313639648434,1008.6196989375001,293.1347961425781,295.257080078125,294.352783203125,292.4130859375,290.4627990722656,286.32891845703125,285.2135925292969,283.084716796875,280.4254150390625,277.78082275390625,273.94091796875,268.95721435546875,264.027099609375,257.5726013183594,251.12030029296875,245.7465057373047,237.39010620117188,230.7677001953125,220.69320678710938,208.18190002441406,205.74319458007812,210.9600067138672,218.36399841308594,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,157.5458984375,376.9732971191406,602.0338134765625,831.8903198242188,1066.7506103515625,1551.2779541015625,2058.5,2595.60107421875,3165.177001953125,3770.743896484375,4417.2490234375,5108.8388671875,5852.83203125,6656.85302734375,7532.72216796875,8504.244140625,9595.48046875,10843.5068359375,12319.66015625,14121.5703125,16568.140625,20746.890625,26509.58984375
