timestamp,Ps,Ts,TMP_MSS
2024-09-16 00:00:00,1009.078125,290.0988458689928,257.9712486868476
2024-09-16 01:00:00,1009.1703287760416,289.28453099329244,257.8534410139892
2024-09-16 02:00:00,1009.2625325520834,288.47021611759203,257.7356333411308
2024-09-16 03:00:00,1009.354736328125,287.6559012418917,257.61782566827236
2024-09-16 04:00:00,1009.741876989189,287.29041337951304,257.57436463485175
2024-09-16 05:00:00,1010.129017650253,286.92492551713445,257.53090360143113
2024-09-16 06:00:00,1010.516158311317,286.5594376547558,257.4874425680105
2024-09-16 07:00:00,1010.7020713972545,286.24844007302545,257.41502410669744
2024-09-16 08:00:00,1010.8879844831921,285.9374424912951,257.3426056453844
2024-09-16 09:00:00,1011.0738975691296,285.6264449095647,257.27018718407135
2024-09-16 10:00:00,1011.5873743273364,288.82426237290923,257.31784411411724
2024-09-16 11:00:00,1012.1008510855431,292.02207983625374,257.3655010441631
2024-09-16 12:00:00,1012.61432784375,295.21989729959824,257.413157974209
2024-09-16 13:00:00,1011.5973102209598,298.5653562582273,257.6926842908713
2024-09-16 14:00:00,1010.5802925981698,301.91081521685635,257.9722106075336
2024-09-16 15:00:00,1009.5632749753796,305.25627417548543,258.2517369241959
2024-09-16 16:00:00,1009.2437854367115,305.76457245232604,258.47750986576307
2024-09-16 17:00:00,1008.9242958980433,306.27287072916664,258.70328280733025
2024-09-16 18:00:00,1008.6048063593752,306.78116900600725,258.92905574889744
2024-09-16 19:00:00,1007.6307167964808,304.59916923617516,259.0728073275711
2024-09-16 20:00:00,1006.6566272335864,302.417169466343,259.21655890624476
2024-09-16 21:00:00,1005.682537670692,300.2351696965109,259.36031048491844
2024-09-16 22:00:00,1007.4648871290253,297.4123252737877,259.3226166355781
2024-09-16 23:00:00,1009.2472365873587,294.5894808510644,259.28492278623764
2024-09-17 00:00:00,1011.029586045692,291.7666364283412,259.2472289368973
2024-09-17 01:00:00,1010.2262903429613,291.1688030843889,259.2296169482318
2024-09-17 02:00:00,1009.4229946402306,290.5709697404366,259.2120049595663
2024-09-17 03:00:00,1008.6196989375,289.97313639648434,259.1943929709008
2024-09-17 04:00:00,1008.0294656328125,289.1699633547684,259.16973272155644
2024-09-17 05:00:00,1007.4392323281251,288.36679031305243,259.1450724722121
2024-09-17 06:00:00,1006.8489990234376,287.5636172713365,259.12041222286774
2024-09-17 07:00:00,1007.0940091506474,287.29695467368026,259.1969240506774
2024-09-17 08:00:00,1007.3390192778572,287.030292076024,259.273435878487
2024-09-17 09:00:00,1007.584029405067,286.76362947836776,259.3499477062967
2024-09-17 10:00:00,1007.577748119003,289.9097422641257,259.4111562340501
