,datetime,muons,IoTPC,lab_temp,Ps,TMP_MSS
0,2024-09-16 18:00:00,1847.299,1879.4934457429129,293.08166666666665,1008.6048063593752,258.92905574889744
1,2024-09-16 19:00:00,1858.547,1889.5084100461004,293.23,1007.6307167964808,259.0728073275711
2,2024-09-16 20:00:00,1851.6116949152545,1880.664475339678,293.315,1006.6566272335864,259.2165589062448
3,2024-09-16 21:00:00,1864.0785,1891.0921283574576,293.32666666666665,1005.682537670692,259.36031048491844
4,2024-09-16 22:00:00,1843.6545000000003,1873.90259655714,293.245,1007.4648871290252,259.3226166355781
5,2024-09-16 23:00:00,1851.6493220338984,1884.603995536544,292.99666666666667,1009.2472365873588,259.28492278623764
6,2024-09-17 00:00:00,1853.9220000000005,1889.2348212996117,292.7033333333333,1011.029586045692,259.2472289368973
7,2024-09-17 01:00:00,1859.9715000000003,1892.038179840118,292.43833333333333,1010.2262903429612,259.2296169482318
8,2024-09-17 02:00:00,1867.4825000000003,1896.4374889737776,292.195,1009.4229946402306,259.2120049595663
9,2024-09-17 03:00:00,1858.029,1883.588851891722,291.94666666666666,1008.6196989375,259.1943929709008
10,2024-09-17 04:00:00,1869.166,1892.3672321187105,291.74333333333334,1008.0294656328124,259.16973272155644
12,2024-09-17 06:00:00,1874.3572881355933,1892.7287116896775,291.3593220338983,1006.8489990234376,259.12041222286774
13,2024-09-17 07:00:00,1871.5895,1889.6989879666648,291.235,1007.0940091506474,259.1969240506774
14,2024-09-17 08:00:00,1868.8700000000003,1886.6756445474728,291.1033333333333,1007.3390192778572,259.273435878487
15,2024-09-17 09:00:00,1855.957,1873.1989885899425,290.9433333333333,1007.584029405067,259.3499477062967
16,2024-09-17 10:00:00,1865.947,1882.969097867876,290.9,1007.577748119003,259.4111562340501
17,2024-09-17 11:00:00,1863.098,1881.3121915918005,291.11833333333334,1007.571466832939,259.4723647618036
18,2024-09-17 12:00:00,1853.0895000000005,1873.1461649607004,291.46166666666664,1007.565185546875,259.533573289557
19,2024-09-17 13:00:00,1851.781016949153,1872.594318559926,291.8333333333333,1007.0130441770832,259.7541277038594
